username,is_student,is_staff,is_teacher
bd356780767ca9b9cdfc3278628793042724b526f6056cf1e85d79b893a04ee7,1,0,0
9e5bbe9c5ff4f35fcf006011247486527d2c29848e8401b7f375c6b9e0c9130f,1,0,0
b903344c2854b360f07e35fd44403a61bb3eee85ca7568d6bf33b0ed6beef9b8,1,0,0
976f90b91b48832c06caf93a4c4d696e3dd99c580455181e584501a756c4a314,1,0,0
5af1bc1c35ecab0d375baf53837fea9e7a85f1ae32d00445ca4a8bfe7087efdb,1,0,0
ad4dcbe26ea65e6d01c2660e83b8df3ced952cd4feab16d8e2481f60e9dfab6d,1,0,0
d7e7aeb1c6707bb322b29a4a74fdb00a6fd1619f5dc3faff1e61d7d797587fc7,1,0,0
93a07ef3263279e29965c3590d806bcbc3235343715c575dc6426ba662298a7e,1,0,0
4e1506dea01fd88a287b711bf7810aff2913ac8097a6fe147205ebe6813a2f87,1,0,0
ca87f309947784a498526cf0d9f39a5663c0cdb4872f8d5053836d6037837883,1,0,0
b8575762bfd10ca6cb996c0e0bcc0c7eb36cd2e6e2cf4295760b196d8a904c92,1,0,0
05456d595b66d1b4cc384b0c3a641aa0d9d6488eba0ddfdf71a9a4b45905e94b,1,0,0
3f3eb28d934fc8839c39f6493952034e085b788fa0e7cdf0106ce50f372953fc,1,0,0
8b67b538d00a93031cb1cbe96fc9c75efd314dcbc3fdac9d24dfd8a732cadbfd,1,0,0
2905d99d11cc7847d574df33aaebdd8cc0369f68d49e4b6fc980338ba50463e9,1,0,0
30bac7339d5bef0ed42cb40cba5ab0eb4445254c224b3d16f576fde49d837bba,1,0,0
17d3157f2b68e08541b2a7627ab79878c3e4776875d441a7f5aa58530b057a71,1,0,0
914f13e33b2302c61aec7cc65652586440f489d68e9e9dbf1ea2389ae4efe3ab,1,0,0
6fdff135c6ed711f8383f5e7111ad8b0ae067b58b11e9bf99aecff488beecb75,1,0,0
69135d219658cbc8e47e1056868bebd765af841b5afdda1f8e7c5808ddfdcb77,1,0,0
17230d4e9a650c46666c009035d885365b5deae703e5209546fdfac5f0a3b597,1,0,0
d1eb2b786f7e358c309c1f8741af8295b3f3923e4158fee95cf7eb3aefad1611,1,0,0
bfb9949e1a6729edd1c4fbcbc3ea89c46f376d3c1d522d2db14e81b237ecf6dc,1,0,0
6a2b32746cb0ca3daf3723359865b00822dc3cf4b755525c6c038f1416cb6d39,1,0,0
437e06d7e2f49ed1b73af563d03072466d254ccfd9456078414407dbf0e9783e,1,0,0
f109387173a705bf5b0a9501f2fdd75325e07b9363fcde067c6ad7259b5f4f66,1,0,0
9f801e1cad399747c23556a2956a5798463a38ea8320e670181afa4524c57282,1,0,0
6bf3fa522afbcf12ff11bb75300af6f348e3c31b9ec28057878e0093f0c6db50,1,0,0
5fcd7316efae03c7c7ddeb5988258c8fd112c03bc26869be35cb1b6f009dcb48,1,0,0
ff91388cc50b98fec644047fc2a428e44ec8b2e14df0c5eae44c4dcc1e46b8b8,1,0,0
463c544441f02ddab1dd8b9ea62cb100e4de93b4d6371a7d2bbdd9f388e20b51,1,0,0
e4a91cdfe53001b477ac36831dff4c3f82e2e7b4ff2e0fcfa78514e53d0b6cc8,1,0,0
3f7f7b99590b4acbe59ddff57a2020e1d7b5716b955536156eb1166b03feb30a,1,0,0
bb379368dd5a259293e9c14c5048e438620c90e8f43027ef95f9d9a55e97ea76,1,0,0
c358732024f941660d1b2484177501123bb55b4c5378639694c24c90771f9d8e,1,0,0
ef6709ba584e1299eb4d9d29c7266935436d318b48821eb14dcdb667e0461c92,1,0,0
4cd69a91634ba8ff15188b40067cacfdbdf4e6863eea0c8d583190d17ff5bf2d,1,0,0
27f3a39fdd72986bd18f4aeef1181a69798c46c98f3ba7885245a44cd616710b,1,0,0
b9ad94b0508a91f59e7fe0cdcf8a7ab890af0b6c215dec92895ae7a7f03c8fd3,1,0,0
4e003e5a7b6235b95c3ed5ffaa2b5b1d7812c7221d922fabe7736e9604d7a2a7,1,0,0
4c7a993276e3d5184b0717033c76d7cf628d5c1a509d1c20583f3328ebc40288,1,0,0
812bc0cbe3d657ce6ae3c23267351ebbc7ad78e625a2ac0099a4a8fee354a534,1,0,0
3143b53f81070a35152dd423b0dd44788505c895f689f3fc87020b188e727421,1,0,0
a4dafb1c41e1b467da0e9b7d0d89c3c8984331ec4871599836d23ac554593951,1,0,0
