usrename,is_student,is_staff,is_teacher
901007,0,0,1
901008,0,0,1
901009,0,0,1
901011,0,0,1
901012,0,0,1
901013,0,0,1
901014,0,0,1
901015,0,0,1
901016,0,0,1
901017,0,0,1
901020,0,0,1
901022,0,0,1
901024,0,0,1
901025,0,0,1
901026,0,0,1
901027,0,0,1
901028,0,0,1
901029,0,0,1
901030,0,0,1
901031,0,0,1
901032,0,0,1
901034,0,0,1
901035,0,0,1
901036,0,0,1
